2025-02-11T08:13:31.717287-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:13:35.992607-05:00 - INFO - n_sampled = 115981, replacement = [Gate { wires: [0, 2, 1], control_func: 1 }, Gate { wires: [0, 9, 4], control_func: 10 }, Gate { wires: [0, 2, 4], control_func: 9 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 32.497584ms
2025-02-11T08:13:36.023417-05:00 - INFO - n_sampled = 131964, replacement = [Gate { wires: [4, 10, 5], control_func: 15 }, Gate { wires: [9, 0, 4], control_func: 15 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 30.802375ms
2025-02-11T08:13:36.057606-05:00 - INFO - n_sampled = 123581, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 12 }, Gate { wires: [3, 8, 0], control_func: 5 }, Gate { wires: [0, 9, 8], control_func: 15 }], time = 34.180542ms
2025-02-11T08:13:36.172585-05:00 - INFO - n_sampled = 424488, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 14 }, Gate { wires: [3, 0, 4], control_func: 7 }, Gate { wires: [8, 3, 0], control_func: 15 }], time = 114.970208ms
2025-02-11T08:13:36.187597-05:00 - INFO - n_sampled = 53026, replacement = [Gate { wires: [8, 5, 0], control_func: 15 }, Gate { wires: [9, 0, 3], control_func: 15 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 15.0065ms
2025-02-11T08:13:36.199174-05:00 - INFO - n_sampled = 49718, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [4, 8, 2], control_func: 15 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [1, 3, 4], control_func: 15 }], time = 11.571208ms
2025-02-11T08:13:36.268610-05:00 - INFO - n_sampled = 229590, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 4, 0], control_func: 3 }, Gate { wires: [0, 4, 7], control_func: 15 }, Gate { wires: [3, 0, 5], control_func: 12 }], time = 69.431ms
2025-02-11T08:13:36.271564-05:00 - INFO - n_sampled = 12529, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 7, 0], control_func: 10 }, Gate { wires: [4, 9, 0], control_func: 15 }, Gate { wires: [3, 4, 8], control_func: 3 }], time = 2.945625ms
2025-02-11T08:13:36.422664-05:00 - INFO - n_sampled = 540063, replacement = [Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [0, 1, 5], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 10 }, Gate { wires: [3, 1, 0], control_func: 5 }], time = 151.088125ms
2025-02-11T08:13:36.537976-05:00 - INFO - n_sampled = 403171, replacement = [Gate { wires: [6, 0, 4], control_func: 15 }, Gate { wires: [0, 2, 1], control_func: 7 }, Gate { wires: [0, 10, 1], control_func: 5 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 115.27375ms
