2025-02-11T08:12:31.580486-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:12:47.479121-05:00 - INFO - n_sampled = 526898, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [0, 7, 9], control_func: 0 }, Gate { wires: [0, 3, 1], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 138.586709ms
2025-02-11T08:12:47.577984-05:00 - INFO - n_sampled = 375754, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [2, 5, 3], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [2, 5, 4], control_func: 0 }], time = 98.850917ms
2025-02-11T08:12:47.607861-05:00 - INFO - n_sampled = 128972, replacement = [Gate { wires: [0, 4, 2], control_func: 12 }, Gate { wires: [0, 1, 2], control_func: 14 }, Gate { wires: [3, 2, 0], control_func: 9 }, Gate { wires: [0, 4, 2], control_func: 6 }], time = 29.815584ms
2025-02-11T08:12:47.738739-05:00 - INFO - n_sampled = 496061, replacement = [Gate { wires: [0, 3, 10], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 6 }, Gate { wires: [0, 4, 2], control_func: 0 }], time = 130.865917ms
2025-02-11T08:12:47.921346-05:00 - INFO - n_sampled = 697696, replacement = [Gate { wires: [0, 1, 2], control_func: 14 }, Gate { wires: [0, 2, 3], control_func: 3 }, Gate { wires: [0, 2, 3], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 182.593416ms
2025-02-11T08:12:48.177939-05:00 - INFO - n_sampled = 946471, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 8 }, Gate { wires: [3, 4, 0], control_func: 14 }, Gate { wires: [3, 6, 0], control_func: 0 }], time = 256.579333ms
2025-02-11T08:12:48.191316-05:00 - INFO - n_sampled = 57537, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [0, 2, 4], control_func: 0 }, Gate { wires: [0, 7, 10], control_func: 0 }], time = 13.311167ms
2025-02-11T08:12:48.536574-05:00 - INFO - n_sampled = 1312881, replacement = [Gate { wires: [0, 1, 4], control_func: 3 }, Gate { wires: [0, 2, 1], control_func: 8 }, Gate { wires: [0, 4, 10], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 345.241958ms
2025-02-11T08:12:48.559861-05:00 - INFO - n_sampled = 101004, replacement = [Gate { wires: [0, 2, 5], control_func: 3 }, Gate { wires: [0, 2, 1], control_func: 1 }, Gate { wires: [3, 0, 4], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 13 }], time = 23.279ms
2025-02-11T08:12:48.563377-05:00 - INFO - n_sampled = 14539, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [0, 4, 3], control_func: 0 }, Gate { wires: [3, 10, 2], control_func: 0 }], time = 3.497958ms
