2025-02-11T08:14:29.141155-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:14:42.751159-05:00 - INFO - n_sampled = 436970, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [4, 0, 7], control_func: 3 }, Gate { wires: [3, 8, 4], control_func: 10 }, Gate { wires: [4, 0, 1], control_func: 3 }], time = 127.261083ms
2025-02-11T08:14:43.210327-05:00 - INFO - n_sampled = 1609268, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [0, 3, 2], control_func: 6 }, Gate { wires: [0, 3, 2], control_func: 6 }], time = 459.038584ms
2025-02-11T08:14:43.536796-05:00 - INFO - n_sampled = 1170507, replacement = [Gate { wires: [0, 3, 4], control_func: 0 }, Gate { wires: [0, 6, 4], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 326.353125ms
2025-02-11T08:14:43.838228-05:00 - INFO - n_sampled = 1059079, replacement = [Gate { wires: [0, 4, 2], control_func: 5 }, Gate { wires: [0, 2, 1], control_func: 14 }, Gate { wires: [0, 7, 5], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 301.321125ms
2025-02-11T08:14:44.065723-05:00 - INFO - n_sampled = 755075, replacement = [Gate { wires: [0, 8, 4], control_func: 5 }, Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 1, 0], control_func: 5 }, Gate { wires: [0, 10, 4], control_func: 10 }], time = 227.346917ms
2025-02-11T08:14:44.211764-05:00 - INFO - n_sampled = 526897, replacement = [Gate { wires: [0, 5, 10], control_func: 5 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [0, 10, 2], control_func: 3 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 145.940958ms
2025-02-11T08:14:44.263481-05:00 - INFO - n_sampled = 156785, replacement = [Gate { wires: [3, 4, 2], control_func: 12 }, Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 0, 7], control_func: 12 }, Gate { wires: [0, 3, 10], control_func: 0 }], time = 51.682792ms
2025-02-11T08:14:44.382679-05:00 - INFO - n_sampled = 466288, replacement = [Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [0, 2, 3], control_func: 0 }, Gate { wires: [3, 0, 9], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 6 }], time = 119.159042ms
2025-02-11T08:14:44.594286-05:00 - INFO - n_sampled = 692640, replacement = [Gate { wires: [0, 8, 2], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 0, 4], control_func: 5 }, Gate { wires: [3, 0, 7], control_func: 12 }], time = 211.576875ms
2025-02-11T08:14:44.620963-05:00 - INFO - n_sampled = 78315, replacement = [Gate { wires: [0, 2, 7], control_func: 12 }, Gate { wires: [0, 1, 9], control_func: 12 }, Gate { wires: [0, 2, 1], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 26.605084ms
